hub_id	source_label	pointer_def	target_label	target_hub_id	target_hub_label	target_hub_status	resolved_def	resolved_def_quality	scheme_id	resolution_status
hub:002454	漁業専管水域	↳漁業水域	漁業水域	hub:002451	漁業水域	canonical	かつて、沿岸国が自国の地先沖合において漁業資源の保存及び管理を図るための管轄権を行使する水域として設定した水域。漁業専管水域ともいう。一九七〇年代、距岸二〇〇海里が一般化した。その後、一九八二年の国際連合海洋法条約は、漁業に関する権限を包含する制度として「排他的経済水域」を導入し、これが漁業水域に取って代わった。	ok	yuhikaku_legal_dict	resolved
hub:000630	演述能力	↳弁論能力	弁論能力	hub:010884	弁論能力	canonical	訴訟法上、裁判所に対する訴訟行為（特に弁論）をするため必要な資格で、演述能力ともいう。訴訟能力とは異なる概念。弁護士強制主義の下では、弁論能力があるのは弁護士に限られる。	ok	yuhikaku_legal_dict	resolved
hub:009144	瀆職罪	→汚職の罪	汚職の罪	hub:000691	汚職の罪	canonical	公務員が職権を濫用し、又は公務員の職務に関して不正な行為を行う罪（刑二編二五章）。職権濫用の罪（一九三～一九六）と賄賂の罪（一九七～一九七の四・一九八）を指す。	ok	yuhikaku_legal_dict	resolved
hub:001440	為替相場	→外国為替相場	外国為替相場	hub:000828	外国為替相場	canonical	異なる国の通貨の間の交換比率のこと。我が国は昭和四八年二月以降、変動相場制に移行し、外国為替相場は、外国為替市場における外国為替の需給によって決定されているが、外国為替相場の安定を図るため必要がある場合には、通貨当局が外国為替の需給に影響を及ぼすため外国為替市場に介入を行っている。「外国為替及び外国貿易法」上は、基準外国為替相場及び裁定外国為替相場を財務大臣が定める（七①）こととされているが、現実の売買に適用されるものではなく、その定め方も実勢相場の平均値として算出されている。また、財務大臣は、対外支払手段の売買等の措置を講ずることにより本邦通貨の外国為替相場の安定に努めるものとすると規定されている（七③）。	ok	yuhikaku_legal_dict	resolved
hub:011641	無国籍	→国籍の抵触	国籍の抵触	hub:004093	国籍の抵触	canonical	ある人が同時に複数の国籍を有し、又はいずれの国籍も有しないこと。前者を国籍の積極的抵触又は重国籍といい、後者を国籍の消極的抵触又は無国籍という。	ok	yuhikaku_legal_dict	resolved
hub:011621	無競争当選	→無投票	無投票						yuhikaku_legal_dict	target_not_found
hub:011614	無記名株式	→無記名株券	無記名株券	hub:011613	無記名株券	canonical	株主の氏名が株券上に記載されていない株券。記名株券に対するもの。株主管理の困難さから、我が国ではほとんど利用されていなかった。平成二年の商法改正で廃止された。	ok	yuhikaku_legal_dict	resolved
hub:006123	焼毀	→焼損	焼損	hub:006322	焼損	canonical	火力により物質を毀損すること。刑法の放火罪及び失火罪における用語（一〇八・一一六等）。対象物がどのような状態になれば「焼損した」と認められるかについては諸説があるが、判例は、火が媒介物を離れて目的物に燃え移り、独立して燃焼作用を継続し得る状態に達したときとしている（独立燃焼説）（最判昭三二・一一・二一等）。平成七年改正前の刑法では、「焼燬（しょうき）」と規定されていた。	ok	yuhikaku_legal_dict	resolved
hub:005855	熟慮期間	→引受考慮期間	引受考慮期間	hub:010150	引受考慮期間	canonical	為替手形について引受呈示を受けた支払人が引受けをするかどうかを考慮するために認められた猶予期間。考慮期間、引受熟慮期間、熟慮期間ともいう。引受呈示を受けた支払人は、翌日もう一度呈示するよう要求することができる（手二四①）。この一日が引受考慮期間である。所持人は翌日もう一度呈示して拒絶された場合でないと遡求することができない。	ok	yuhikaku_legal_dict	resolved
hub:010669	父母共同親権	→共同親権	共同親権	hub:002346	共同親権	canonical	父母の婚姻中は父母が共同して未成年の子に対して身分上及び財産上の監督保護（子の監護教育、居所指定、懲戒、職業許可、財産管理及び子の財産に関する法律行為の代表）を行う親権者となること。なお、父母の一方が親権を行うことができないときは、他の一方だけが親権を行うこととされている（民八一八③）。	ok	yuhikaku_legal_dict	resolved
hub:011809	物財団	→ぶつざいだん	ぶつざいだん	hub:010579	物財団	provisional	財団抵当の一類型。鉄道財団、軌道財団及び運河財団等がこれに該当する。	ok	yuhikaku_legal_dict	resolved_via_reading
hub:009288	特例有限会社	↓有限会社	有限会社	hub:011891	有限会社	canonical	商行為その他営利行為をなすを業とする目的をもって旧有限会社法により設立された社団法人。社員の責任は出資額を限度とする有限責任である点では株式会社に近いが、人的結合組織である面を有し、社員の総数の制限（最大五〇人）、非社員に対する持分の譲渡の制限及び社員の先買権、増資の場合における公募の禁止及び社員の法定出資引受権等の特色を有するほか、設立、会社の組織、計算等について株式会社に比べ簡略化されていた。平成一七年の会社法制定に伴って廃止された。なお、有限会社の規定による有限会社は、会社法の施行後は株式会社として存続するものとされるが、株式の譲渡制限やその商号中に有限会社という文字を用いる必要があるなどの特例が適用され、特例有限会社と呼ばれる（会社法整備法二以下）。	ok	yuhikaku_legal_dict	resolved
hub:009275	独立行政委員会	→行政委員会	行政委員会	hub:002175	行政委員会	canonical	一般の行政組織からある程度独立の地位をもつ行政機関で、処分権限等の行政的権能のほか、ときに争訟の判断等の準司法的権能、規則制定等の準立法的権能をもつ。行政権は内閣に属する（憲六五）から、通常、行政委員会は内閣又は各大臣の所轄の下にあるが、具体的権限行使については、その指揮監督を受けない。公正取引委員会、人事院等がその例。地方公共団体においても、教育委員会、選挙管理委員会等がある。	ok	yuhikaku_legal_dict	resolved
