self_isbn	bencom_bib_id	edition_risk_flag	sample_stratum	self_all_count	self_d1_count	bencom_d1_count	v10_jaccard_all	v11_jaccard_d1	v12_containment	notes
9784502247712	NOBN_20180227_独占禁止法と損害賠償・差止請求_01	0	clean_random	398	8	9	0.0175	0.7	0.777778	
9784502245510	NOBN_20180427_新・センスのよい法律文章の書き方_01	0	clean_random	91	10	11	0.096774	0.75	0.818182	
9784535522909	NOBN_20200923_検証・自動車運転死傷行為等処罰法_01	0	clean_random	2	2	9	0.222222	0.222222	1.0	
9784502157110	NOBN_20150915_独占禁止法の手続と実務_01	0	clean_random	491	9	10	0.016227	0.727273	0.8	
9784788288331	NOBN_20210401_農地の承継・相続相談対応マニュアル_01	0	clean_random	162	4	5	0.018293	0.5	0.6	
9784817847089	NOBN_20210301_信託法からみた民事信託の手引き_01	0	clean_random	132	11	12	0.074627	0.769231	0.833333	
9784502501913	NOBN_20240912_ディープテック・スタートアップの知財・契約戦略_01	0	clean_random	192	11	11	0.030457	0.375	0.545455	
9784502409110	NOBN_20220125_医療機器ビジネスの法律実務_01	0	clean_random	73	13	14	0.16	0.8	0.857143	
9784589042033	NOBN_20220415_比較から読み解く日本国憲法_01	0	clean_random	174	10	11	0.027778	0.3125	0.454545	
9784897617299	NOBN_20190125_社労士のための_わかりやすい補佐人制度の解説_01	0	clean_random	78	78	7	0.036585	0.036585	0.428571	
9784817845597	NOBN_20190620_債権法改正と家庭裁判所の実務_01	0	clean_random	68	7	7	0.086957	0.75	0.857143	
9784492654941	NOBN_20221128_ベンチャーキャピタルの実務_01	0	clean_random	100	12	14	0.117647	0.857143	0.857143	
9784417017820	NOBN_20200120_医療事故の法律相談_01	0	clean_random	8	8	12	0.0	0.0	0.0	
9784797281118	NOBN_20220330_新聞記事と国際法の話_01	0	clean_random	21	21	20	0.576923	0.576923	0.75	
9784535587649	NOBN_20210730_なぜ君は総理大臣になれないのか_01	0	clean_random	16	16	12	0.037037	0.037037	0.083333	
9784535526150	NOBN_20220315_刑事準備手続論_01	0	clean_random	15	15	13	0.166667	0.166667	0.307692	
9784589040459	NOBN_20191210_SDGs時代の平和学_01	0	clean_random	56	12	12	0.192982	0.846154	0.916667	
9784641136670	NOBN_20140526_ライブ争点整理_01	0	clean_random	86	9	10	0.090909	0.727273	0.8	
9784313511941	NOBN_20221025_改正民法による相隣関係の実務_01	0	clean_random	74	74	7	0.038462	0.038462	0.428571	
9784817846921	NOBN_20201101_現代型ビジネスシーン別_契約条項例とチェックポイント_01	0	clean_random	103	3	4	0.019048	0.4	0.5	
9784324111956	NOBN_20220901_労働災害の法律実務_01	0	clean_random	189	12	13	0.057592	0.785714	0.846154	
9784502347719	NOBN_20200610_基礎からわかる広告・マーケティングの法律_01	0	clean_random	97	14	15	0.131313	0.8125	0.866667	
9784827113426	NOBN_20200706_知財部という仕事_01	0	clean_random	107	7	10	0.063636	0.7	0.7	
9784502427916	NOBN_20220609_デジタルヘルス事業参入の法務_01	0	clean_random	7	7	10	0.545455	0.545455	0.857143	
9784535526921	NOBN_20230330_パラリーガルの実務感覚から学ぶ民事訴訟・執行・保全_01	0	clean_random	41	41	14	0.122449	0.122449	0.428571	
9784335313325	NOBN_20210831_プレップ社会保障法_01	0	clean_random	17	17	9	0.181818	0.181818	0.444444	
9784803743548	NOBN_20250520_判例講座刑法総論_01	0	clean_random							no_box_file
9784535528031	NOBN_20240930_契約法を考える_01	0	clean_random	34	34	38	0.8	0.8	0.941176	
9784865566598	NOBN_20250123_弁護士とケースワーカーの連携による生活保護の現場対応QA_01	0	clean_random	115	115	16	0.10084	0.10084	0.75	
9784817844002	NOBN_20170601_相続手続が簡単に_法定相続情報証明制度の利用の仕方_01	0	clean_random	64	10	11	0.136364	0.75	0.818182	
9784539727584	NOBN_20200619_人事・総務担当者のための_ハラスメント研修_設計・実践ハンドブック_01	0	clean_random	90	90	12	0.051546	0.051546	0.416667	
9784384046465	NOBN_20150610_図解_最新_相続・贈与・財産管理の法律と税金がわかる事典_01	0	clean_random	187	14	16	0.074074	0.875	0.875	
9784384048872	NOBN_20220330_すぐに役立つ_図解とQAでわかる_最新_空き家をめぐる法律と税金_01	0	clean_random	159	9	11	0.055901	0.818182	0.818182	
9784589043597	NOBN_20250115_条約法_01	0	clean_random	9	9	15	0.5	0.5	0.888889	
9784535524927	NOBN_20210720_自由法曹団百年史1921-2021_01	0	clean_random	20	20	17	0.193548	0.193548	0.352941	
9784502504716	NOBN_20240627_保険リスクマネージャーの視点と実務_01	0	clean_random	92	5	6	0.042553	0.571429	0.666667	
9784502278310	NOBN_20181126_日本とドイツにおける株式会社法の発展_01	0	clean_random	85	9	11	0.090909	0.666667	0.727273	
9784004302124	NOBN_20211129_子どもと学校_01	0	clean_random							no_box_file
9784641136472	NOBN_20130701_典型担保法の諸相_01	0	clean_random	18	18	9	0.173913	0.173913	0.444444	
9784417016557	NOBN_20150606_遺産分割のための相続分算定方法_01	0	clean_random	204	19	13	0.033333	0.28	0.538462	
9784641046870	NOBN_20201224_分野別_国際条約ハンドブック_01	0	clean_random	10	10	13	0.0	0.0	0.0	
9784788289420	NOBN_20211102_抗告・異議申立ての実務_01	0	clean_random	314	12	13	0.03481	0.785714	0.846154	
9784539728215	NOBN_20211102_税理士が押さえておきたい_地主・不動産オーナーの相続発生後_関与の勘所_01	0	clean_random	158	12	14	0.075	0.857143	0.857143	
9784641243026	NOBN_20171208_独禁法事例集_01	0	clean_random	3	3	122	0.0	0.0	0.0	
9784130361484	NOBN_20160425_英米民事訴訟法_01	0	clean_random	16	16	18	0.259259	0.259259	0.4375	
9784322121346	NOBN_20120730_一問一答_改正資産流動化法_01	0	clean_random	1	1	21	0.047619	0.047619	1.0	
9784906929757	NOBN_20180901_逮捕勾留プラクティス_01	0	clean_random	108	8	10	0.063063	0.636364	0.7	
9784788291287	NOBN_20230201_DV・児童虐待事件処理マニュアル_01	0	clean_random							no_box_file
9784897619415	NOBN_20230925_離職防止に向けた働き方改革の実践ガイド_01	0	clean_random	44	44	10	0.148936	0.148936	0.7	
9784766421125	NOBN_20140405_イギリス取引法入門_01	0	clean_random	167	167	33	0.142857	0.142857	0.757576	
9784502435713	NOBN_20220901_XR・メタバースの知財法務_01	0	clean_random	120	12	14	0.089431	0.733333	0.785714	
9784384049107	NOBN_20230228_すぐに役立つ_入門図解_最新_法人税のしくみと法人税申告書の書き方_01	0	clean_random	5	5	9	0.0	0.0	0.0	
9784788286917	NOBN_20200301_実務家が陥りやすい_借地借家の落とし穴_01	0	clean_random	96	10	11	0.091837	0.75	0.818182	
9784539728765	NOBN_20220121_IPOの労務監査_標準手順書_01	0	clean_random	53	53	5	0.035714	0.035714	0.4	
9784817840820	NOBN_20130501_現代取引社会における継続的契約の法理と判例_01	0	clean_random	66	9	11	0.115942	0.666667	0.727273	
9784502501210	NOBN_20240528_Cookieポリシー作成のポイント_01	0	clean_random	127	9	10	0.062016	0.727273	0.8	
9784788288959	NOBN_20210601_目的別_相続対策_選択ガイドブック_01	0	clean_random	61	10	11	0.142857	0.75	0.818182	
9784788284951	NOBN_20190101_介護・医療現場が知っておくべき_認知症高齢者への対応と法律問題_01	0	clean_random	1	1	11	0.090909	0.090909	1.0	
9784326403950	NOBN_20210801_会社法入門20講_01	0	clean_random	128	128	24	0.142857	0.142857	0.791667	
9784641138940	NOBN_20220608_継続的契約の規範_01	0	clean_random	6	6	8	0.272727	0.272727	0.5	
9784589041838	NOBN_20211201_法学における論理学の使用法_01	0	clean_random	46	15	15	0.297872	0.875	0.933333	
9784817845436	NOBN_20190301_国家賠償法実務ハンドブック_01	0	clean_random	144	7	10	0.040541	0.545455	0.6	
9784324109489	NOBN_20210401_実務が変わる!_QA民事裁判手続IT化_01	0	clean_random	63	13	14	0.184615	0.8	0.857143	
9784803701401	NOBN_20120220_警察官のための剣道_01	0	clean_random							no_box_file
9784877987756	NOBN_20210330_こんなときどうする刑事弁護の知恵袋_01	0	clean_random	78	78	19	0.127907	0.127907	0.578947	
9784817844767	NOBN_20180524_相続法改正のポイントと実務への影響_01	0	clean_random	52	8	9	0.12963	0.7	0.777778	
9784313511699	NOBN_20190704_実践!!_業務委託契約書審査の実務_01	0	clean_random	59	59	10	0.045455	0.045455	0.3	
9784502525018	NOBN_20241210_業務プロセスとつながる_IT統制とIT監査_現場の教科書_01	0	clean_random	68	14	15	0.185714	0.8125	0.866667	
9784539726266	NOBN_20180920_民泊3タイプ_開設・契約・運営とトラブル対策_01	0	clean_random	7	7	9	0.454545	0.454545	0.714286	
9784260053198	NOBN_20230901_職場のメンタルヘルスケア入門_01	0	clean_random	126	19	20	0.140625	0.857143	0.9	
9784535526426	NOBN_20220330_犯罪学におけるコントロールモデルの展開と犯罪原因論の課題_01	0	clean_random	14	14	10	0.263158	0.263158	0.5	
9784589041647	NOBN_20210715_18歳からはじめる知的財産法_01	0	clean_random	112	6	6	0.044248	0.714286	0.833333	
9784817846501	NOBN_20200701_地下アイドルの法律相談_01	0	clean_random	71	12	13	0.150685	0.785714	0.846154	
9784535528208	NOBN_20250130_法学教育の四半世紀_01	0	clean_random	23	23	14	0.233333	0.233333	0.5	
9784502457418	NOBN_20230411_基礎からわかる「ビジネスと人権」の法務_01	0	clean_random	153	7	8	0.03871	0.666667	0.75	
9784539729748	NOBN_20230603_介護離職をさせない組織づくりと職務・役割等級人事制度_01	0	clean_random	164	164	12	0.02924	0.02924	0.416667	
9784539728734	NOBN_20220121_知的財産権の税務と周辺実務_01	0	clean_random	146	146	13	0.039216	0.039216	0.461538	
9784897612768	NOBN_20060408_労働裁判における和解の実際_01	0	clean_random	88	5	6	0.044444	0.571429	0.666667	
9784417017950	NOBN_20200815_情報コンテンツ利用の法務QA_01	0	clean_random	97	8	9	0.070707	0.7	0.777778	
9784865564372	NOBN_20210426_農業法務のすべて_01	0	clean_random	485	17	18	0.032854	0.842105	0.888889	
9784535525184	NOBN_20200930_沖縄憲法史考_01	0	clean_random	1	1	9	0.0	0.0	0.0	
9784766423792	NOBN_20161031_未遂犯と実行の着手_01	0	clean_random	97	97	13	0.111111	0.111111	0.846154	
9784384047370	NOBN_20170110_すぐに役立つ_図解とQAでわかる_賃貸トラブル解決マニュアル_01	0	clean_random	185	12	14	0.064171	0.857143	0.857143	
9784788284760	NOBN_20181101_非公開株式評価実務マニュアル_01	0	clean_random	2	2	17	0.117647	0.117647	1.0	
9784641184510	NOBN_20201020_司法・犯罪心理学_01	0	clean_random	21	21	10	0.068966	0.068966	0.2	
9784384046427	NOBN_20150510_すぐに役立つ_図解とQAでわかる_不動産をめぐる税金の知識と疑問解決マニュアル111_01	0	clean_random	189	11	13	0.057592	0.846154	0.846154	
9784788292352	NOBN_20230828_遺言無効紛争事件実務マニュアル_01	0	clean_random	136	10	11	0.065217	0.75	0.818182	
9784502448218	NOBN_20221215_プライバシーガバナンスの教科書_01	0	clean_random	123	10	11	0.072	0.75	0.818182	
9784539727522	NOBN_20200602_弁護士が独立を思い立ったら最初に読む本_01	0	clean_random	186	186	10	0.037037	0.037037	0.7	
9784817842367	NOBN_20150622_財産管理の理論と実務_01	0	clean_random	24	24	9	0.0	0.0	0.0	
9784539729250	NOBN_20230121_クラウド会計を活用した_電子帳簿保存法対応の実務_01	0	clean_random	3	3	7	0.428571	0.428571	1.0	
9784641138384	NOBN_20201005_会社更生法・特別清算法_01	0	clean_random	23	23	12	0.060606	0.060606	0.166667	
9784788293687	NOBN_20240625_法人形態・事業展開からみた_公益法人等の収益事業判断393事例_01	0	clean_random	151	10	12	0.058442	0.692308	0.75	
9784863263345	NOBN_20221026_協同労働入門_01	0	clean_random	4	4	7	0.571429	0.571429	1.0	
9784766427981	NOBN_20220225_民事訴訟における後訴遮断理論の再構成_01	0	clean_random	6	6	13	0.0	0.0	0.0	
9784502299612	NOBN_20190411_企業評価論入門_01	0	clean_random	236	8	9	0.029412	0.7	0.777778	
9784641048287	NOBN_20201221_ミャンマーのビジネス法務_01	0	clean_random	8	8	11	0.266667	0.266667	0.5	
9784535525207	NOBN_20210520_新ケースでわかる民事訴訟法_01	0	clean_random	27	27	33	0.818182	0.818182	1.0	
9784535540149	NOBN_20220820_概説_教育経済学_01	0	clean_random	183	183	19	0.091892	0.091892	0.894737	
9784788289222	NOBN_20210901_ヒアリングシートを活用した_遺産分割相談_聴取事項のチェックポイント_01	0	clean_random	217	8	12	0.040909	0.666667	0.75	
9784502400117	NOBN_20210902_2021年改訂コーポレートガバナンス・コードの実務対応_01	0	clean_random	117	12	13	0.092437	0.785714	0.846154	
9784788289048	NOBN_20210701_消費税_適用判断の原則と例外_01	0	clean_random	147	14	15	0.087248	0.8125	0.866667	
9784817847621	NOBN_20211001_行為類型別_詐害行為取消訴訟の実務_01	0	clean_random	174	5	7	0.022599	0.5	0.571429	
9784130311908	NOBN_20170929_要説_中国法_01	0	clean_random	24	24	13	0.027778	0.027778	0.076923	
9784788284876	NOBN_20181201_株式会社との対比でみる_合同会社の法務・登記・税務_01	0	clean_random	110	6	7	0.044643	0.625	0.714286	
9784535523807	NOBN_20191220_刑事政策学_01	0	clean_random	37	37	10	0.119048	0.119048	0.5	
9784906929856	NOBN_20201001_捜索差押等プラクティス_01	0	clean_random	89	8	9	0.076923	0.7	0.777778	
9784766429398	NOBN_20240130_保証・人的担保の論点と解釈_01	0	clean_random	59	59	21	0.19403	0.19403	0.619048	
9784417017868	NOBN_20200331_保証の法律相談_01	0	clean_random	9	9	16	0.0	0.0	0.0	
9784384049473	NOBN_20240920_事業者必携_入門図解_法人税・消費税のしくみと申告書の書き方_01	0	clean_random	6	6	10	0.6	0.6	1.0	
9784535526013	NOBN_20211225_比較政治学方法論批判_01	0	clean_random	1	1	11	0.0	0.0	0.0	
9784384046342	NOBN_20150110_すぐに役立つ_図解とQAで納得_損害賠償・慰謝料をめぐる法律とトラブル解決法165_01	0	clean_random	221	10	12	0.044843	0.833333	0.833333	
9784539728055	NOBN_20210105_歯科医院の法務・税務と経営戦略_01	0	clean_random	108	6	7	0.045455	0.625	0.714286	
9784803707250	NOBN_20221110_注釈風俗営業法_01	0	clean_random							no_box_file
