self_bib_id	self_isbn	bencom_bib_id	edition_risk_flag	sample_stratum	self_real_count	bencom_d1_count	intersection	union	jaccard_d1	toc_agreement	norm_title_version	self_parser_hash	notes
alo:book:isbn:9784797211634	9784797211634	NOBN_20201218_担保物権法_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784817842480	9784817842480	NOBN_20150914_デジタル証拠の法律実務_QA_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784817842824	9784817842824	NOBN_20160129_信託の理論と実務入門_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784817845757	9784817845757	NOBN_20190701_広告法律相談125問_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784817846730	9784817846730	NOBN_20160129_信託の理論と実務入門_01	1	collision_priority	464	10	3	425	0.007059	0.007059	v1.0	8695b840a56b6984	
alo:book:isbn:9784817848109	9784817848109	NOBN_20190701_広告法律相談125問_01	1	collision_priority	422	16	10	422	0.023697	0.023697	v1.0	92ef0d66a03a80f5	
alo:book:isbn:9784817849045	9784817849045	NOBN_20150914_デジタル証拠の法律実務_QA_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784817849168	9784817849168	NOBN_20190701_広告法律相談125問_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784865565263	9784865565263	NOBN_20171120_建築訴訟_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784897617060	9784897617060	NOBN_20180702_実務に即した労災認定の考え方と申請のポイント_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784897619057	9784897619057	NOBN_20180702_実務に即した労災認定の考え方と申請のポイント_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:manual:title_4471	9784532113506	NOBN_20201201_倒産法入門_01	1	collision_priority							v1.0		ERROR:no_box_file
alo:book:manual:title_4557	9784535514751	NOBN_20220331_初歩からはじめる物権法_01	1	collision_priority							v1.0		ERROR:no_box_file
alo:book:manual:title_6307	9784641243422	NOBN_20100917_知的財産法入門_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784771035997	9784771035997	NOBN_20220310_アジア労働法入門_01	0	clean_random							v1.0		ERROR:fetch_failed:
alo:book:manual:title_5060	9784803724912	NOBN_20190215_取調べハンドブック_01	0	clean_random							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784502364013	9784502364013	NOBN_20201014_金融機関のための気候変動リスク管理_01	0	clean_random							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784539729649	9784539729649	NOBN_20230511_MAを成功に導く_中小企業のPMI実践マニュアル_01	0	clean_random							v1.0		ERROR:bencom_not_in_cache
alo:book:isbn:9784817847539	9784817847539	NOBN_20221101_QA_傷害・医療保険に関する法律と実務_01	0	clean_random	223	10	7	225	0.031111	0.031111	v1.0	c833f143fa0b9d29	
alo:book:isbn:9784788285781	9784788285781	NOBN_20190528_不動産取引における_心理的瑕疵・環境瑕疵_対応のポイント_01	0	clean_random							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784502233210	9784502233210	NOBN_20170901_ステージ別ベンチャー企業の労務戦略_01	0	clean_random							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784909712035	9784909712035	NOBN_20181029_詳説_個人情報保護法_01	0	clean_random							v1.0		ERROR:fetch_failed:
alo:book:manual:title_3008	9784788293632	NOBN_20240614_QA_未分割遺産の税務_01	0	clean_random							v1.0		ERROR:bencom_not_in_cache
alo:book:isbn:9784817842787	9784817842787	NOBN_20151216_一般社団法人・財団法人制度と登記の実務_01	0	clean_random							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784539729403	9784539729403	NOBN_20221220_事例分析による_税賠事故リスク回避マニュアル_01	0	clean_random							v1.0		ERROR:bencom_not_in_cache
alo:book:isbn:9784260048064	9784260048064	NOBN_20220215_トラブルを未然に防ぐカルテの書き方_01	0	clean_random							v1.0		ERROR:bencom_not_in_cache
alo:book:manual:title_3588	9784863263406	NOBN_20230121_労働判例から経営を学ぶ15講_01	0	clean_random							v1.0		ERROR:bencom_not_in_cache
alo:book:isbn:9784788282124	9784788282124	NOBN_20170201_不動産明渡・引渡事件処理マニュアル_01	0	clean_random							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784502514616	9784502514616	NOBN_20241108_幼保事業者の重大事故・不適切保育対応_01	0	clean_random							v1.0		ERROR:bencom_not_in_cache
alo:book:isbn:9784326403363	9784326403363	NOBN_20170901_ファッションロー_01	0	clean_random							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784641038905	9784641038905	NOBN_19980501_現代仲裁法の論点_01	0	clean_random							v1.0		ERROR:bencom_not_in_cache
alo:book:isbn:9784539729632	9784539729632	NOBN_20230303_はじめての法人税_01	0	clean_random							v1.0		ERROR:bencom_not_in_cache
alo:book:isbn:9784502304118	9784502304118	NOBN_20190528_会社を伸ばす株主還元_01	0	clean_random							v1.0		ERROR:bencom_not_in_cache
alo:book:isbn:9784817841995	9784817841995	NOBN_20141128_供託実務事例集_01	0	clean_random							v1.0		ERROR:bencom_not_in_cache
