T3_generic_review,馬券訴訟,国籍確認請求事件,12,28230968,平成２５年（行ツ）２３０号,平成27.3.10,最高三小判,issn:0439-3295#v60n9#p124,国籍留保制度を規定する国籍法１２条と憲法１４条の関係・国籍確認請求事件（平成２７．３．１０最高三小判）＜最新判例演習室 ,
T3_generic_review,告示により一括して指定する方法でされた建築基準法42条2項所定のいわゆるみなし道路の指定と抗告訴訟,預金払戻等請求事件,29,28070188,平成１２年（受）１６７１号,平成14.1.17,最高一小判,issn:0387-3617#249#p114,愛知県公共工事請負前払金預金払戻等請求事件（平成１４．１．１７最高一小判）＜判例解説＞,
T3_generic_review,イレブン・ジャパン事件,損害賠償請求事件,36439,28212844,平成２１年（ワ）５号,平成25.8.30,東京高判,issn:0448-0791#1464#p108,優越的地位濫用行為による損害賠償責任を一部認めた独禁法２５条訴訟事件――セブン－イレブン損害賠償請求事件判決（平成２５．,
T3_generic_review,イレブン・ジャパン事件,損害賠償請求事件,36439,28212844,平成２１年（ワ）５号,平成25.8.30,東京高判,issn:0448-0791#1461#p4,コンビニエンスストア本部による見切り販売の制限を理由とした独禁法２５条に基づく損害賠償請求事件（平成２５．８．３０東京高,
T3_generic_review,手形制度及び手形訴訟,遺留分減殺請求事件,153,28092196,平成１３年（ワ）１６８１０号,平成15.11.17,東京地判,issn:0438-5896#1166#p104,遺留分減殺請求事件において，請求権者が遺産である土地上に建物を所有し無償で使用している場合の特別受益の有無及び評価につい,
T3_generic_review,日教組スト事件,選挙無効請求事件,132,27805327,昭和６３年（行ツ）１７６号,平成1.12.18,最高一小判,issn:0493-4067#1379#p87,選挙無効請求事件――議員定数配分を規定した条例に違法はない。したがって選挙は有効である 上告した選挙管理委員会側に軍配（,
T3_generic_review,東京灯油訴訟,損害賠償請求事件,36439,27800027,昭和５６年（行ツ）１７８号,昭和62.7.2,最高一小判,isbn:bj-199#p232,カルテルと一般消費者の損害賠償請求〔石油価格協定損害賠償請求事件（東京灯油訴訟，鶴岡灯油訴訟）〕（【１】昭和６２．７．２,
T3_generic_review,東京灯油訴訟,損害賠償請求事件,36439,27800027,昭和５６年（行ツ）１７８号,昭和62.7.2,最高一小判,isbn:bj-234#p224,カルテル行為者に対する一般消費者の損害賠償請求〔石油価格協定損害賠償請求事件（東京灯油訴訟，鶴岡灯油訴訟）〕（【１】昭和,
T3_generic_review,旭礦末審決取消請求事件,審決取消請求事件,6967,27800808,昭和５９年（行ケ）２６４号,昭和61.6.13,東京高判,issn:0425-6247#430#p35,旭礦末審決取消請求事件東京高裁判決紹介（昭和６１．６．１３東京高判）,
T3_generic_review,旭礦末審決取消請求事件,審決取消請求事件,6967,27800808,昭和５９年（行ケ）２６４号,昭和61.6.13,東京高判,issn:0425-6247#430#p40,旭礦末審決取消請求事件東京高裁判決批評（昭和６１．６．１３東京高判）,
T3_generic_review,旭礦末審決取消請求事件,審決取消請求事件,6967,27800808,昭和５９年（行ケ）２６４号,昭和61.6.13,東京高判,issn:0448-0791#61#p228,取引先制限協定と不当な取引制限――旭礦末審決取消請求事件（昭和６１．６．１３東京高判）,
T3_generic_review,旭礦末審決取消請求事件,審決取消請求事件,6967,27800808,昭和５９年（行ケ）２６４号,昭和61.6.13,東京高判,ncid:AN00326923#337#p14,私的独占の禁止及び公正取引の確保に関する法律２条６項にいう不当な取引制限に該当するとして契約の一部の削除を命じた公正取引,
T3_generic_review,金沢市庁舎前広場事件,損害賠償請求事件,36439,28310494,令和３年（オ）１６１７号,令和5.2.21,最高三小判,issn:0287-8534#508#p17,市庁舎前広場使用不許可処分に係る損害賠償請求事件（金沢市）（令和５．２．２１最高三小判）＜判例解説＞（令和５年索引・解説,
T3_generic_review,ニプロ事件,損害賠償請求事件,36439,28221704,平成１９年（ワ）１０号,平成24.12.21,東京高判,issn:1346-812X#60#p1,ナイガイ・ニプロ損害賠償請求事件にみる「私的独占」禁止規定の法的有効性（平成２４．１２．２１東京高判）＜論説・解説＞,
T3_generic_review,ニプロ事件,損害賠償請求事件,36439,28221704,平成１９年（ワ）１０号,平成24.12.21,東京高判,issn:0425-6247#761#p49,ニプロ株式会社に対する独占禁止法第２５条に基づく損害賠償請求事件（平成２４．１２．２１東京高判）＜審決・判決評釈＞,
T3_generic_review,東洋シヤッター株式会社ほか3名による審決取消請求事件,審決取消請求事件,6967,28312717,令和２年（行ケ）１０号／令和２年（行ケ）１１号／令和２年（行ケ）１２号,令和5.4.7,東京高判,issn:0287-9670#1258#p82,東洋シヤッター（株）ほか３名による審決取消請求事件（令和５．４．７東京高判）＜独占禁止法判例研究会７２＞,
T3_generic_review,東洋シヤッター株式会社ほか3名による審決取消請求事件,審決取消請求事件,6967,28312717,令和２年（行ケ）１０号／令和２年（行ケ）１１号／令和２年（行ケ）１２号,令和5.4.7,東京高判,issn:0425-6247#876#p58,東洋シヤッター株式会社ほか３名による審決取消請求事件判決（シャッターの製造，施工及び販売業者による受注調整並びに価格協定,
T3_generic_review,機械保険連盟料率カルテル事件,審決取消請求事件,6967,28101751,平成１４年（行ヒ）７２号,平成17.9.13,最高三小判,issn:0448-0791#17#p261,課徴金算定の基礎となる「売上額」――機械保険連盟構成事業者課徴金審決取消請求事件（平成１７．９．１３最高三小判）,
T3_generic_review,機械保険連盟料率カルテル事件,審決取消請求事件,6967,28101751,平成１４年（行ヒ）７２号,平成17.9.13,最高三小判,issn:0425-6247#662#p36,日本機械保険連盟損害保険料カルテル課徴金審決取消請求事件最高裁判決の意義（平成１７．９．１３最高三小判）,
T3_generic_review,著作権確認等請求事件,著作権確認等請求事件,21,28040893,平成９年（ワ）１５２０７号,平成11.1.28,東京地判,issn:0287-7511#v27n10#p1221,日本国内で著作された著作物の著作権確認等請求事件につき裁判管轄が否定された事例（平成１１．１．２８東京地判）＜渉外判例教,
T3_generic_review,著作権確認等請求事件,著作権確認等請求事件,21,28040893,平成９年（ワ）１５２０７号,平成11.1.28,東京地判,issn:1340-847X#v50n8#p1247,著作権確認等請求事件につき我が国の国際裁判管轄が否定された事例（平成１１．１．２８東京地判）＜判例研究＞,
T3_generic_review,著作権確認等請求事件,著作権確認等請求事件,21,28040893,平成９年（ワ）１５２０７号,平成11.1.28,東京地判,ncid:AN00326923#494#p215,日本国内で著作された著作物であっても，外国における利用権についてはその所在地が我が国にあるということはできないとして，著,
T3_generic_review,長崎教師批判ビラ事件,国家賠償請求事件,585,27805392,昭和５９年（オ）１４７７号,平成1.12.21,最高一小判,issn:0389-0813#v26n2#p161,民法７２４条後段の２０年の期間制限と権利濫用――桜島村不発弾爆破国家賠償請求事件（平成元．１２．２１最高一小判）＜判例研,
T3_generic_review,倉田学園事件,損害賠償請求事件,36439,22007472,平成５年（行ツ）１５号,平成6.12.20,最高三小判,issn:0387-3617#156#p98,固定資産税免除を条件とする市の土地貸借の適否――住民訴訟による損害賠償請求事件最高裁判決（平成６．１２．２０最高三小判）,
T3_generic_review,道立夕張南高校事件,懲戒処分取消請求事件,119,27803762,昭和５７年（行ツ）１６６号,昭和61.12.18,最高一小判,issn:0387-3617#64#p108,公務員の年次有給休暇権の行使と使用者の時季変更権行使の限界――公立高校教諭懲戒処分取消請求事件（昭和６１．１２．１８最高,
T3_generic_review,内閣総理大臣による靖国神社参拝訴訟,損害賠償請求事件,36439,28333029,平成１７年（オ）１１２５号／平成１７年（受）１３００号,平成18.6.23,最高二小判,issn:0387-3617#298#p60,小泉首相靖国参拝損害賠償請求事件最高裁判決（平成１８．６．２３最高二小判）＜判例解説＞,
