case_name_normalized,court,date,distinct_case_names,hanrei_docket_count,verdict,hanrei_dockets
157集団食中毒原因公表事件,東京高判,平成15.5.21,4,0,unresolved_no_hanrei,
JR東海出向命令効力停止仮処分事件,大阪地決,昭和62.11.30,2,0,unresolved_no_hanrei,
いわゆるエンタープライス寄港阻止佐世保闘争事件,最高三小判,昭和57.11.16,4,3,SPLIT_confirmed,昭和５６年（あ）５６１号|昭和５６年（オ）１０１５号|昭和５７年（オ）５９８号
に当たるとして人格権的権利に基づき同土地上の工作物の撤去を求める訴訟,最高一小判,平成18.3.23,4,3,SPLIT_confirmed,平成１５年（オ）４２２号／平成１５年（受）４２８号|平成１５年（受）１８８６号|平成１８年（オ）２８５号
アップル・インクに対する独占禁止法違反被疑事件,公取委,令和3.9.2,2,0,unresolved_no_hanrei,
アフターマーケットをめぐる特許訴訟,知財高判,令和4.3.29,3,0,unresolved_no_hanrei,
イレブン・ジャパン事件,中労委,平成31.2.6,2,0,unresolved_no_hanrei,
オキシラン化学事件,公取委,平成7.10.13,4,0,unresolved_no_hanrei,
ドメイン名の使用差止を求めたジャックス訴訟,富山地判,平成12.12.6,2,0,unresolved_no_hanrei,
ニンテンドーDS事件,公取委,平成25.7.29,4,0,unresolved_no_hanrei,
ハローマート事件,公取委,昭和57.5.28,2,0,unresolved_no_hanrei,
ホープネット事件,東京地判,令和5.4.10,4,0,unresolved_no_hanrei,
モスク監視を全面的に擁護したムスリム違法捜査国賠訴訟,東京地判,平成26.1.15,3,0,unresolved_no_hanrei,
モルフォ株式インサイダー取引に係る課徴金納付命令処分取消請求事件,東京地判,令和3.1.26,2,0,unresolved_no_hanrei,
モンタージュ写真事件,最高二小判,昭和61.5.30,3,3,SPLIT_confirmed,昭和５８年（オ）５１６号|昭和５８年（オ）６２１号|昭和６１年（行ツ）１６号
リーダーズ・ダイジェスト事件,,平成1.3.27,4,12,SPLIT_confirmed,昭和５８年（ワ）７８４６号|昭和５９年（行ウ）１１０号|昭和６０年（ワ）６７７７号|昭和６１年（ワ）６６９号|昭和６２年（ネ）１９３号|昭和６２年（ネ）２７６４号
ロス疑惑訴訟夕刊フジ事件,最高三小判,平成9.9.9,3,0,unresolved_no_hanrei,
三ツ星新株予約権無償割差止仮処分命令申立事件,大阪高決,令和4.7.21,2,0,unresolved_no_hanrei,
不動産の取得者がこれに付された予告登記を不動産登記法145条2項の規定に従って抹消するため右予告登記に係る所有権移転登記の抹消登記手続請求訴訟,東京高判,平成12.12.20,2,0,unresolved_no_hanrei,
中津川市議会代読拒否訴訟,名古屋高判,平成24.5.11,2,0,unresolved_no_hanrei,
伊豆シャボテンリゾート元代表取締役に対する損害賠償請求控訴事件,東京高判,平成30.5.9,2,0,unresolved_no_hanrei,
北都銀行事件,最高三小判,平成12.9.12,3,1,MERGE_party_alias,平成９年（オ）１７１０号
司法書士が受任して作成した原告本人名義に係る訴状等によって提起された訴訟,富山地判,平成25.9.10,2,0,unresolved_no_hanrei,
土地の引渡しや所有権移転登記手続を求める訴訟,最高三小判,令和3.1.22,2,1,MERGE_party_alias,令和１年（受）８６１号
売買の目的物たる土地にかつて存在していた建物内で殺人事件,大阪高判,平成18.12.19,3,0,unresolved_no_hanrei,
外国法人に対する債務不存在確認訴訟,東京地判,昭和62.7.28,2,0,unresolved_no_hanrei,
大川小学校津波国家賠償訴訟,仙台地判,平成28.10.26,2,0,unresolved_no_hanrei,
富士見産婦人科病院損害賠償請求事件,東京地判,平成11.6.30,2,0,unresolved_no_hanrei,
富山県立美術館コラージュ訴訟,富山地判,平成10.12.16,4,0,unresolved_no_hanrei,
小物入れ兼ぬいぐるみ事件,東京地判,平成20.7.4,4,0,unresolved_no_hanrei,
岡崎管工事件,東京高判,平成15.3.7,2,0,unresolved_no_hanrei,
建築主事による構造計算書の耐震偽装に関する国家賠償訴訟,最高三小判,平成25.3.26,3,3,SPLIT_confirmed,平成２２年（受）２１０１号|平成２３年（受）１４９６号|平成２３年（受）１５２４号／平成２３年（受）１５２５号
懲罰賠償に関する萬世工業事件,最高二小決,平成19.3.23,4,0,unresolved_no_hanrei,
昇格をめぐる性差別訴訟,名古屋高判,昭和58.4.28,3,0,unresolved_no_hanrei,
景表法4条2号所定の不当価格表示の有無につき判断が加えられた事件,東京高判,平成16.10.19,4,0,unresolved_no_hanrei,
東京機械製作所事件,東京高判,令和6.7.31,2,0,unresolved_no_hanrei,
東京都芝浦と畜場不当廉売事件,東京高判,昭和61.2.24,4,0,unresolved_no_hanrei,
