object,op,key,detail,before_row,after_row,reason
hanrei,TRUE_DUP(dedup remove),28241233,merged into 判例ID=28241233 (survivor),28241233 | 東京地 | 20150422 | h25(ワ)27826 | 東京地|20150422|h25(ワ)27826 | 東京地方裁判所 | 平成２７年４月２２日 | 平成２５年（ワ）２７８２６号 | 相続税更正処分取消等請求事件,(removed; survivor=28241233 | 東京地 | 20150422 | h25(ワ)27826 | 東京地|20150422|h25(ワ)27826 | 東京地方裁判所 | 平成２７年４月２２日 | 平成２５年（ワ）２７８２６号 | 相続税更正処分取消等請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),29021767,merged into 判例ID=29021767 (survivor),29021767 | 東京地 | 20150730 | h25(行ウ)186 | 東京地|20150730|h25(行ウ)186 | 東京地方裁判所 | 平成２７年７月３０日 | 平成２５年（行ウ）１８６号 | 所得税更正処分取消等請求事件,(removed; survivor=29021767 | 東京地 | 20150730 | h25(行ウ)186 | 東京地|20150730|h25(行ウ)186 | 東京地方裁判所 | 平成２７年７月３０日 | 平成２５年（行ウ）１８６号 | 所得税更正処分取消等請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28232427,merged into 判例ID=28232427 (survivor),28232427 | 最高第2小法廷 | 20150708 | h26(オ)200 | 最高第2小法廷|20150708|h26(オ)200 | 最高裁判所第二小法廷 | 平成２７年７月８日 | 平成２６年（オ）２００号／平成２６年（受）２６０号 | 損害賠償（国家賠償）請求事件,(removed; survivor=28232427 | 最高第2小法廷 | 20150708 | h26(オ)200h26(受)260 | 最高第2小法廷|20150708|h26(オ)200h26(受)260 | 最高裁判所第二小法廷 | 平成２７年７月８日 | 平成２６年（オ）２００号／平成２６年（受）２６０号 | 損害賠償（国家賠償）請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28243887,merged into 判例ID=28243887 (survivor),28243887 | 東京地 | 20150512 | h25(行ウ)355 | 東京地|20150512|h25(行ウ)355 | 東京地方裁判所 | 平成２７年５月１２日 | 平成２５年（行ウ）３５５号 | 供託金払渡認可義務付等請求事件,(removed; survivor=28243887 | 東京地 | 20150512 | h25(行ウ)355 | 東京地|20150512|h25(行ウ)355 | 東京地方裁判所 | 平成２７年５月１２日 | 平成２５年（行ウ）３５５号 | 供託金払渡認可義務付等請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28262960,merged into 判例ID=28262960 (survivor),28262960 | 最高第2小法廷 | 20151127 | h27(受)1707 | 最高第2小法廷|20151127|h27(受)1707 | 最高裁判所第二小法廷 | 平成２７年１１月２７日 | 平成２７年（受）１７０７号 | 審決取消請求事件,(removed; survivor=28262960 | 最高第2小法廷 | 20151127 | h27(受)1707 | 最高第2小法廷|20151127|h27(受)1707 | 最高裁判所第二小法廷 | 平成２７年１１月２７日 | 平成２７年（受）１７０７号 | 審決取消請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28231272,merged into 判例ID=28231272 (survivor),28231272 | 最高第2小法廷 | 20150324 | h26(し)567 | 最高第2小法廷|20150324|h26(し)567 | 最高裁判所第二小法廷 | 平成２７年３月２４日 | 平成２６年（し）５６７号 | 再審請求棄却決定に対する即時抗告棄却決定に対する特別抗告事件,(removed; survivor=28231272 | 最高第2小法廷 | 20150324 | h26(し)567 | 最高第2小法廷|20150324|h26(し)567 | 最高裁判所第二小法廷 | 平成２７年３月２４日 | 平成２６年（し）５６７号 | 再審請求棄却決定に対する即時抗告棄却決定に対する特別抗告事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28233464,merged into 判例ID=28233464 (survivor),28233464 | 最高第2小法廷 | 20150904 | h27(受)1279 | 最高第2小法廷|20150904|h27(受)1279 | 最高裁判所第二小法廷 | 平成２７年９月４日 | 平成２７年（受）１２７９号 | 損害賠償請求事件,(removed; survivor=28233464 | 最高第2小法廷 | 20150904 | h27(受)1279 | 最高第2小法廷|20150904|h27(受)1279 | 最高裁判所第二小法廷 | 平成２７年９月４日 | 平成２７年（受）１２７９号 | 損害賠償請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28273096,merged into 判例ID=28273096 (survivor),28273096 | 最高第1小法廷 | 20150326 | h27(オ)93 | 最高第1小法廷|20150326|h27(オ)93 | 最高裁判所第一小法廷 | 平成２７年３月２６日 | 平成２７年（オ）９３号／平成２７年（受）１１４号 | 審決取消請求事件,(removed; survivor=28273096 | 最高第1小法廷 | 20150326 | h27(オ)93h27(受)114 | 最高第1小法廷|20150326|h27(オ)93h27(受)114 | 最高裁判所第一小法廷 | 平成２７年３月２６日 | 平成２７年（オ）９３号／平成２７年（受）１１４号 | 審決取消請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28232717,merged into 判例ID=28232717 (survivor),28232717 | 東京地 | 20150129 | h25(行ウ)712 | 東京地|20150129|h25(行ウ)712 | 東京地方裁判所 | 平成２７年１月２９日 | 平成２５年（行ウ）７１２号 | ,(removed; survivor=28232717 | 東京地 | 20150129 | h25(行ウ)712 | 東京地|20150129|h25(行ウ)712 | 東京地方裁判所 | 平成２７年１月２９日 | 平成２５年（行ウ）７１２号 | ),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28233201,merged into 判例ID=28233201 (survivor),28233201 | 最高第2小法廷 | 20150918 | h25(受)2331 | 最高第2小法廷|20150918|h25(受)2331 | 最高裁判所第二小法廷 | 平成２７年９月１８日 | 平成２５年（受）２３３１号 | 損害賠償請求上告事件,(removed; survivor=28233201 | 最高第2小法廷 | 20150918 | h25(受)2331 | 最高第2小法廷|20150918|h25(受)2331 | 最高裁判所第二小法廷 | 平成２７年９月１８日 | 平成２５年（受）２３３１号 | 損害賠償請求上告事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28241780,merged into 判例ID=28241780 (survivor),28241780 | 仙台地 | 20151005 | h26(行ウ)8 | 仙台地|20151005|h26(行ウ)8 | 仙台地方裁判所 | 平成２７年１０月５日 | 平成２６年（行ウ）８号 | 未支給年金等不支給決定取消請求事件,(removed; survivor=28241780 | 仙台地 | 20151005 | h26(行ウ)8 | 仙台地|20151005|h26(行ウ)8 | 仙台地方裁判所 | 平成２７年１０月５日 | 平成２６年（行ウ）８号 | 未支給年金等不支給決定取消請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28234446,merged into 判例ID=28234446 (survivor),28234446 | 大法廷 | 20151216 | h26(オ)1023 | 大法廷|20151216|h26(オ)1023 | 最高裁判所大法廷 | 平成２７年１２月１６日 | 平成２６年（オ）１０２３号 | 損害賠償請求事件,(removed; survivor=28234446 | 大法廷 | 20151216 | h26(オ)1023 | 大法廷|20151216|h26(オ)1023 | 最高裁判所大法廷 | 平成２７年１２月１６日 | 平成２６年（オ）１０２３号 | 損害賠償請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28234449,merged into 判例ID=28234449 (survivor),28234449 | 大法廷 | 20151216 | h25(オ)1079 | 大法廷|20151216|h25(オ)1079 | 最高裁判所大法廷 | 平成２７年１２月１６日 | 平成２５年（オ）１０７９号 | 損害賠償請求事件,(removed; survivor=28234449 | 大法廷 | 20151216 | h25(オ)1079 | 大法廷|20151216|h25(オ)1079 | 最高裁判所大法廷 | 平成２７年１２月１６日 | 平成２５年（オ）１０７９号 | 損害賠償請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28232426,merged into 判例ID=28232426 (survivor),28232426 | 最高第2小法廷 | 20150708 | h26(オ)201 | 最高第2小法廷|20150708|h26(オ)201 | 最高裁判所第二小法廷 | 平成２７年７月８日 | 平成２６年（オ）２０１号／平成２６年（受）２６１号 | 懲戒処分取消等請求事件,(removed; survivor=28232426 | 最高第2小法廷 | 20150708 | h26(オ)201h26(受)261 | 最高第2小法廷|20150708|h26(オ)201h26(受)261 | 最高裁判所第二小法廷 | 平成２７年７月８日 | 平成２６年（オ）２０１号／平成２６年（受）２６１号 | 懲戒処分取消等請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28231370,merged into 判例ID=28231370 (survivor),28231370 | 最高第1小法廷 | 20150409 | h24(受)1948 | 最高第1小法廷|20150409|h24(受)1948 | 最高裁判所第一小法廷 | 平成２７年４月９日 | 平成２４年（受）１９４８号 | 損害賠償請求事件,(removed; survivor=28231370 | 最高第1小法廷 | 20150409 | h24(受)1948 | 最高第1小法廷|20150409|h24(受)1948 | 最高裁判所第一小法廷 | 平成２７年４月９日 | 平成２４年（受）１９４８号 | 損害賠償請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28230866,merged into 判例ID=28230866 (survivor),28230866 | 大法廷 | 20150304 | h24(受)1478 | 大法廷|20150304|h24(受)1478 | 最高裁判所大法廷 | 平成２７年３月４日 | 平成２４年（受）１４７８号 | 損害賠償請求事件,(removed; survivor=28230866 | 大法廷 | 20150304 | h24(受)1478 | 大法廷|20150304|h24(受)1478 | 最高裁判所大法廷 | 平成２７年３月４日 | 平成２４年（受）１４７８号 | 損害賠償請求事件),survivor rule: full-docket/correct-court/min-ID
hanrei,TRUE_DUP(dedup remove),28263675,merged into 判例ID=28263675 (survivor),28263675 | 最高第1小法廷 | 20150910 | h27(受)360 | 最高第1小法廷|20150910|h27(受)360 | 最高裁判所第一小法廷 | 平成２７年９月１０日 | 平成２７年（受）３６０号 | 審決取消請求事件,(removed; survivor=28263675 | 最高第1小法廷 | 20150910 | h27(受)360 | 最高第1小法廷|20150910|h27(受)360 | 最高裁判所第一小法廷 | 平成２７年９月１０日 | 平成２７年（受）３６０号 | 審決取消請求事件),survivor rule: full-docket/correct-court/min-ID
